"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"1","Tb927_01_v5.1",1004508,1004908,1898.76002663434,1595.70638966254,869.90159864967,1376.77757310773,1433.38890534298,1335.05784900509,1193.76152729519,2755.32840588548,6110.94679072191,3288.66274561656,5453.13713927431,8314.58154541292,9316.07758349405,7407.67430312279,5236.76939949119,7323.40821451536,1677.20063911514,6260.99985448276,6438.23920563821,4952.92572027269
"2","Tb927_01_v5.1",141145,141545,2513.43904329948,1180.11928469822,1477.64107167889,931.200234822151,2277.09250152587,994.030773100292,1428.02788129467,2126.96336179143,4030.5976042153,3314.07183967762,5067.48387624219,5795.94214118736,6171.0781007709,6272.88819599298,3286.71885453034,5421.42449258285,910.768058865728,2005.56198017794,2052.00078167485,2184.06977865753
"3","Tb927_01_v5.1",144650,145050,2682.69848267104,1849.31633790357,1774.46926349708,1274.12557871789,2531.86679535529,1730.39664440584,1874.13083199579,2464.22491337178,5094.13981128182,3354.00041605928,5779.65690197485,7024.54672861446,7539.58282042007,7447.70746294012,3319.39296876426,6518.88451783941,1562.51547199753,5015.12044255404,5108.02449372949,4853.48839701674
"4","Tb927_01_v5.1",179841,180241,3520.08728798297,2576.82516752929,1959.71605474129,1796.97392376946,3180.52063543138,1676.92696707262,2183.16304365467,3236.60310175379,7115.12262756026,5060.03958873012,8324.96843798691,9864.15908130536,11526.1761146922,10045.2436403187,5112.01369059803,8570.84042713137,2029.08829822236,7651.52282740613,7252.56195101538,7324.03236886404
"5","Tb927_01_v5.1",181137,181537,3007.21846041351,1932.61887564697,2105.96352151302,1321.50342228243,3170.69254694538,1698.39904222218,2029.89303545289,2902.41875411122,5205.29386617714,3802.28943270789,6210.30304569406,7609.66966337662,8412.27901196104,8228.35407937813,3715.93790060322,7314.99855914941,1602.235700609,5653.25379988339,5797.42272703175,5336.46968140279
"6","Tb927_01_v5.1",183290,183690,3675.34782635387,2186.228823888,2417.95811729273,1445.02422871856,3527.52775966789,1492.51973343521,2325.84122202137,3255.68176616801,6753.87194915049,4932.99411842485,7535.66475964782,8888.95419003509,9773.46552455326,9115.24254302368,4852.10596373729,8130.73512964662,1701.81599205746,4366.04765624191,4506.53610225772,4821.5264002559
"7","Tb927_01_v5.1",279248,279648,824.662531674969,720.104159604091,506.991218142024,397.635472773844,825.559432824119,429.441502991231,460.433073419179,784.687004133122,1678.67885177127,1239.60080312148,1765.00643381038,2537.06847303697,2627.23633344412,2332.70142781771,1309.93494337811,2030.93177087708,499.579776761115,2020.14788548832,2071.66482524219,2092.91889900624
"8","Tb927_01_v5.1",289451,289851,1698.95753053408,1013.51420921141,903.484350278736,712.359719309737,1466.65320483406,688.790489111426,764.480894567432,1714.00259334176,3508.93141476343,2361.23081238805,3816.68179314131,5531.79215489053,6052.15723609551,4785.50233508743,2856.01462144684,4434.69159631131,888.949905121402,3817.86071499327,3911.98796145678,4081.6653641253
"9","Tb927_01_v5.1",521726,522126,722.852342579294,587.745682967349,582.281580665252,409.47993366498,801.367215012423,460.597063012164,603.734300599708,787.148767283343,1768.35996424363,1295.86379711381,1234.09044170282,2847.29113136231,3216.35200152839,2055.54878292848,2171.34340954513,2360.30993937682,525.873449222226,1507.21021540645,1397.30380172673,1693.98582832462
"10","Tb927_01_v5.1",526654,527054,813.208885401705,714.550657087864,465.283607247862,566.842056932927,738.618650063337,463.544210581712,535.198931078585,763.146576568683,1780.99110684537,1513.65603192286,1876.8458800897,2607.71323681403,2921.79416748625,2398.91011520792,1871.3356333973,2178.10073978122,653.425732650596,2124.68020687942,2049.68736478457,1886.94158654748
