"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"1","Tb927_01_v5.1",1004508,1004908,1287.9759888966,1649.66907692308,1152.12439446367,3024.3844123506,2241.94790874525,4724.03047904192,3338.10672268908,1799.40683360259,9492.47649842271,1179.50675039246,4719.88899821109,8253.36433823529,7125.07694038245,9053.92352496218,3748.86128205128,3257.96428571429,4071.35600436681,5538.10410544512,5249.29924184989,4655.35491949911
"2","Tb927_01_v5.1",141145,141545,1704.92800138793,1220.02788461538,1957.03321799308,2045.57913346614,3561.57547528517,3517.32449101796,3993.18403361345,1389.04400646204,6260.95339116719,1188.61993720565,4386.09203935599,5753.26875,4719.73380202475,7666.94750378215,2352.87294871795,2411.82887218045,2210.86310043668,1773.99956784788,1673.06087945413,2052.85129695886
"3","Tb927_01_v5.1",144650,145050,1819.74087439278,1911.85546153846,2350.1615916955,2798.8875,3960.06516159696,6122.91556886227,5240.61848739496,1609.29751211632,7913.013170347,1202.94065934066,5002.50375670841,6972.82757352941,5766.38689538808,9102.8534795764,2376.26346153846,2900.05586466165,3792.96108078603,4436.07407087295,4164.73328278999,4561.89177101968
"4","Tb927_01_v5.1",179841,180241,2387.76245662734,2663.96676923077,2595.50813148789,3947.43496015936,4974.61753802281,5933.71598802395,6104.76302521008,2113.71019386107,11052.3191640379,1814.82605965463,7205.56368515206,9791.53290441176,8815.3937007874,12277.6547655068,3659.55205128205,3812.90939849624,4925.55311135371,6768.07713915298,5913.24222896133,6884.00594812165
"5","Tb927_01_v5.1",181137,181537,2039.87081887578,1997.97507692308,2789.20276816609,2902.96299800797,4959.24553231939,6009.69377245509,5676.17521008403,1895.46630048465,8085.675,1363.72331240188,5375.2436940966,7553.64246323529,6433.83813273341,10056.9875945537,2660.13923076923,3254.22308270677,3889.3807860262,5000.52847882455,4726.82137983321,5015.85563506261
"6","Tb927_01_v5.1",183290,183690,2493.07952810548,2260.16146153846,3202.41799307958,3174.30268924303,5517.36758555133,5281.20089820359,6503.73298319328,2126.16978998385,10491.1682176656,1769.2601255887,6522.39257602862,8823.50808823529,7474.89415073116,11140.9742813918,3473.49115384615,3617.11977443609,4131.10906113537,3861.94330164218,3674.32084912813,4531.85004472272
"7","Tb927_01_v5.1",279248,279648,559.389035392089,744.456230769231,671.474740484429,873.49078685259,1291.24847908745,1519.55568862275,1287.50567226891,512.45113085622,2607.58604100946,444.593328100471,1527.67741502683,2518.38897058824,2009.35005624297,2851.11081694402,937.746923076923,903.50052631579,1212.71544759825,1786.90138288678,1689.09359363154,1967.17674418605
"8","Tb927_01_v5.1",289451,289851,1152.44500346981,1047.78865384615,1196.60242214533,1564.84945219124,2293.97623574145,2437.24814371257,2137.71239495798,1119.35403877221,5450.62003154574,846.875431711146,3303.47723613596,5491.06360294118,4628.78132733408,5849.01149773071,2044.54346153846,1972.86105263158,2157.90016375546,3377.05008643042,3189.56702047005,3836.4397137746
"9","Tb927_01_v5.1",521726,522126,490.328660652325,607.621730769231,771.19160899654,899.509661354582,1253.40969581749,1629.79796407186,1688.21785714286,514.058820678514,2746.8927444795,464.772527472527,1068.15026833631,2826.32757352941,2459.9146231721,2512.36497730711,1554.4058974359,1050.03097744361,1276.54257641921,1333.18755401901,1139.26580742987,1592.21149373882
"10","Tb927_01_v5.1",526654,527054,551.619743233865,738.714923076923,616.235899653979,1245.1889940239,1155.26535171103,1640.22628742515,1496.57289915966,498.383844911147,2766.51340694006,542.885557299843,1624.47853309481,2588.51360294118,2234.63233970754,2932.03343419062,1339.63846153846,968.971578947368,1586.17205240175,1879.36439066551,1671.1746777862,1773.57450805009
"11","Tb927_01_v5.1",649413,649813,120.855655794587,229.652307692308,279.781141868512,505.509561752988,368.928136882129,929.610538922156,771.806512605042,229.497722132472,1163.50528391167,167.943014128728,463.977772808587,995.464889705882,905.326940382452,895.794553706505,685.767307692308,281.837293233083,779.505786026201,388.129602420052,350.833510235026,415.020885509839
"12","Tb927_01_v5.1",650800,651200,146.753296321999,269.841461538462,228.129238754325,417.540986055777,422.138925855513,1045.81185628743,829.3,254.818836833603,1153.69495268139,145.810989010989,554.102951699463,1307.97683823529,1085.83262092238,1051.99402420575,562.435512820513,329.225864661654,680.370032751092,578.431374243734,506.445147839272,556.328264758497
"13","Tb927_01_v5.1",657660,658060,659.526578764747,832.489615384615,657.84437716263,1307.13869521912,1395.30513307985,2431.28910179641,1810.1737394958,832.38140549273,3776.97752365931,522.706357927787,2634.77066189624,4568.77224264706,4080.26794150731,4687.86603630862,2005.20487179487,1719.08278195489,2058.76441048035,3428.657346586,3049.98809704321,3166.62048300537
"14","Tb927_01_v5.1",762656,763056,1242.22349063151,1012.38392307692,1319.99307958477,1396.34626494024,2502.08954372624,1702.79622754491,1892.05840336134,913.167819063005,4671.6797318612,852.082967032967,3277.88613595707,4616.03014705882,3745.84268841395,5482.03683812406,2245.48923076923,2027.1084962406,2049.25824235808,3706.04636992221,3382.9026914329,4185.81386404293
"15","Tb927_01_v5.1",816690,817090,1295.74528105482,1551.10996153846,1148.5374567474,2409.84337649402,2325.90270912548,4020.86353293413,3287.58214285714,1659.93974151858,7724.65481072555,1028.48822605965,4318.21999105546,8036.89264705882,6937.57491563555,7919.12496217852,3363.98102564103,2683.06609022556,3604.19574235808,5888.60341400173,5337.95072024261,5398.60948121646
"16","Tb927_02_v5.1",1001900,1002300,104.453816793893,152.144653846154,147.781833910035,260.18874501992,297.980418250951,659.963892215569,527.89474789916,165.993974151858,875.081545741325,92.4337519623234,303.75523255814,894.851286764706,733.216872890889,611.624432677761,463.557435897436,266.248947368421,431.851637554585,441.887165082109,424.395375284306,389.429785330948
"17","Tb927_02_v5.1",1030063,1030463,847.716099930604,713.835923076923,864.451989619377,753.308366533865,1837.54591254753,1089.01491017964,1151.61197478992,538.576090468498,3098.10260252366,827.998116169545,1556.60648479428,2881.20772058824,2438.92559055118,2715.61248108926,1519.32012820513,1054.39571428571,1167.90065502183,2105.14615384615,1879.59996209249,2485.67468694097
"18","Tb927_02_v5.1",114081,114481,3357.19746703678,2574.01961538462,3726.11089965398,3956.10791832669,6637.15907794677,3959.78335329341,4771.95945378151,1921.18933764136,12052.9729495268,2918.17260596546,8560.77933810376,10663.5174632353,8902.14836895388,14485.1484871407,5308.58320512821,5020.07090225564,4932.34323144105,7756.14114088159,6800.70011372252,8953.54709302326
"19","Tb927_02_v5.1",125318,125718,659.526578764747,624.845653846154,1043.79887543253,868.534810756972,1606.9658269962,1884.54700598802,1900.76953781513,524.106882067851,2476.12760252366,484.951726844584,1572.18367620751,2126.60569852941,1890.41220472441,2627.1621785174,792.087820512821,867.335563909774,1112.22167030568,1240.72454624028,1179.81914329037,1338.52580500894
"20","Tb927_02_v5.1",159403,159803,2565.59292158223,2207.53280769231,3947.06626297578,3091.29008964143,6021.0963878327,7235.76664670659,7634.43823529412,2111.29865912763,9981.03099369085,1793.99591836735,5875.93913237925,8524.71617647059,7285.99285714286,10373.1503782148,3563.86358974359,3448.76563909774,4205.80038209607,4355.43772687986,4005.34924184989,5314.04758497317
