"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"1","Tb927_01_v5.1",1004508,1004908,685.311445697296,989.197661906269,742.187509667307,2454.23930445785,1320.97497717744,4650.26924246409,2586.65302753958,2714.10981792079,5874.51242709861,1379.33974892163,4862.63840600688,6672.45096976528,6757.24564013446,6636.44734576722,4168.55774402336,5871.50383313256,3798.85732774788,6014.29508853059,6222.21767848211,3481.03607521222
"2","Tb927_01_v5.1",141145,141545,907.164949900911,731.570196595414,1260.7020712157,1659.95456438341,2098.51088146543,3462.40481912889,3094.26343377908,2095.14485832796,3874.65257438439,1389.99689929961,4518.74601520017,4651.24306610531,4476.0780723043,5619.80596272202,2616.28425624609,4346.59843570464,2062.88850219265,1926.53599224917,1983.15022666677,1535.01710295567
"3","Tb927_01_v5.1",144650,145050,968.255045261327,1146.41353160599,1513.95160751563,2271.25218712425,2333.30442962408,6027.31207396008,4060.883249916,2427.36111479894,4897.0460145698,1406.74384989358,5153.80063022323,5637.19814106139,5468.69781677025,6672.31257773353,2642.29340836421,5226.48121108125,3539.0955691794,4817.50757819399,4936.63551350647,3411.14911767928
"4","Tb927_01_v5.1",179841,180241,1270.49025388654,1597.40504103657,1672.00150060792,3203.27997705969,2931.08740980248,5841.06666437543,4730.49697729577,3188.18484084107,6839.83639972023,2122.29537527235,7423.49040954752,7915.98680805363,8360.29998681207,8999.41435954798,4069.25007229961,6871.6260171494,4595.88243086777,7350.02670982335,7009.21754295415,5147.507217337
"5","Tb927_01_v5.1",181137,181537,1085.38267170423,1198.05378077743,1796.77773199657,2355.70777973976,2922.03009192099,5915.8581280669,4398.39016895822,2858.99975459336,5003.89948575307,1594.76643156226,5537.81379995739,6106.75924550923,6101.69195862887,7371.6846010767,2957.94993634329,5864.76143638638,3629.06183678116,5430.49630300054,5602.90244422428,3750.60005426785
"6","Tb927_01_v5.1",183290,183690,1326.52778496903,1355.26965047715,2062.96702562569,2575.89557477305,3250.88040269512,5198.73997620158,5039.65331513844,3206.97809622537,6492.56261837459,2069.00962338244,6719.65731636312,7133.38496730725,7089.00357611906,8166.23743233048,3862.35908954178,6518.77392076593,3854.61107105039,4194.01047524789,4355.32879543052,3388.68545275797
"7","Tb927_01_v5.1",279248,279648,297.641968372552,446.40126505979,432.557602147322,708.823723737315,760.814702045236,1495.82927382951,997.670452688805,772.948406935227,1613.73026366557,519.916693440106,1573.88084192538,2035.99722978431,1905.61758429558,2089.83947803728,1042.73055309943,1628.28881420269,1131.54756293491,1940.54716310189,2002.15448475772,1470.95405855048
"8","Tb927_01_v5.1",289451,289851,613.197573730489,628.289698252532,770.839829467664,1269.85016039749,1351.63051462249,2399.19283527949,1656.48395865922,1688.3618143644,3373.16980621743,990.353760125296,3403.38836101708,4439.26272498975,4389.82100894831,4287.2746519735,2273.43634196169,3555.49055081941,2013.47041153815,3667.42397069979,3780.72946256315,2868.6932092093
"9","Tb927_01_v5.1",521726,522126,260.896046351249,364.350646931833,496.794254602961,729.937621891192,738.519765721566,1604.35022114655,1308.17681820765,775.373343113847,1699.94158700663,543.514669277065,1100.45565058147,2284.95088621072,2332.92180584375,1841.54171827047,1728.42638166822,1892.36602009478,1191.10269782622,1447.82098811453,1350.42022199181,1190.57424082904
"10","Tb927_01_v5.1",526654,527054,293.508052145156,442.958581781694,396.97326949204,1010.45084022128,680.692274632047,1614.61571616303,1159.67377382907,751.730215372299,1712.08402691382,634.861672516908,1673.60963525932,2092.68964659428,2119.26969506966,2149.15505398157,1489.61507585633,1746.28075726086,1480.00845857556,2040.96055421306,1980.91443159725,1326.18821794653
"11","Tb927_01_v5.1",649413,649813,64.3053635372798,137.707331123843,180.232334228051,410.212878418191,217.375629155782,915.095555754523,598.062260542815,346.159639498051,720.046686496378,196.396056965662,478.010423221327,804.785829932901,858.58953832816,656.609631383329,762.541050735981,507.92722154563,727.332923991756,421.502723152697,415.857882931251,310.331370949846
"12","Tb927_01_v5.1",650800,651200,78.0850842952683,161.806114070515,146.958672524411,338.827794183652,248.727883360942,1029.48250022384,642.613173856389,384.352384311321,713.975466542783,170.514406047707,570.861368739139,1057.4368178904,1029.77663329622,771.1024872758,625.401885022223,593.330913663922,634.832395330783,628.167493230336,600.310976166887,415.993794838936
"13","Tb927_01_v5.1",657660,658060,350.923555303441,499.189075323929,423.777052531084,1060.72202630194,822.125776935328,2393.32683812721,1402.67875553947,1255.51070648067,2337.41968213411,611.263696679948,2714.4572714343,3693.63419955422,3869.62456532445,3436.16510877284,2229.69367703575,3098.13130487014,1920.96988287718,3723.46865411067,3615.28062741846,2367.83668022322
"14","Tb927_01_v5.1",762656,763056,660.967272358183,607.059818037606,850.326910204138,1133.11253425809,1474.25266440267,1676.20868626189,1466.13005631941,1377.36374945634,2891.11494190198,996.443560341286,3377.0232777219,3731.83995870877,3552.46397852316,4018.28541222613,2496.87860334014,3653.25530363903,1912.09996916996,4024.70882744418,4009.89845718924,3129.93731236816
"15","Tb927_01_v5.1",816690,817090,689.445361924692,930.098265632287,739.876838715665,1955.5491385377,1370.44186714558,3958.08157849593,2547.50222493068,2503.74660442548,4780.47859146077,1202.73554265793,4448.82122906948,6497.44394396057,6579.42338644671,5804.64985054842,3740.58896826146,4835.42219980276,3362.96442556467,6394.93189669619,6327.30004674968,4036.80378511704
"16","Tb927_02_v5.1",1001900,1002300,55.5782070572204,91.2311068695457,95.1996432076372,211.138981538775,175.572623548901,649.659184614189,409.058385879172,250.374660442548,541.552819860682,108.093953833814,312.942075634106,723.444536249024,695.364633823734,448.315399578954,515.454105613779,479.833901769876,402.947508413551,479.882601705703,503.053890642643,291.195656387255
"17","Tb927_02_v5.1",1030063,1030463,451.056192811491,428.040287576611,556.871699345645,611.297622740833,1082.69784521822,1072.01097957781,892.368293947632,812.353619837807,1917.29126134533,968.278234342334,1603.68484912863,2329.31886458374,2313.01632968467,1990.52037413055,1689.41265349103,1900.23214963199,1089.73225545803,2286.15604413568,2227.96978677953,1858.66027534037
"18","Tb927_02_v5.1",114081,114481,1786.31113426058,1543.46966967974,2400.32498456538,3210.31794311099,3910.67117452372,3897.95510768513,3697.72580502657,2897.79873345128,7459.10083498693,3412.57179603513,8819.69351622276,8620.94468664723,8442.57595493625,10617.4880940283,5902.89529662752,9047.17270058377,4602.21808351578,8423.04887762759,8061.15912316466,6695.00413413784
"19","Tb927_02_v5.1",125318,125718,350.923555303441,374.678696766122,672.405246927728,704.802028850862,946.838076995856,1855.1215994062,1472.88019470025,790.529194230224,1532.3759162874,567.112645114024,1619.73316069961,1719.25916195467,1792.81988606081,1925.68707019144,880.764469454737,1563.11231232295,1037.77990374433,1347.40759700336,1398.48981598655,1000.88107038248
"20","Tb927_02_v5.1",159403,159803,1365.1110030914,1323.71172042794,2542.6623151865,2508.53218542496,3547.68174250397,7122.78704214699,5915.82127697205,3184.54743657314,6176.85918078764,2097.93617440839,6053.65238616746,6891.82597394301,6909.85429068737,7603.42917685905,3962.84899545272,6215.36606718779,3924.30325017852,4729.93776036448,4747.71083013179,3973.57272830152
"21","Tb927_02_v5.1",164668,165068,730.784524198658,609.354940223003,1306.4533560582,1282.92066877846,1608.02228234469,1529.55875745508,1679.43442915409,899.651322268139,2018.07351257501,1035.26603671822,2523.0238405519,2490.7690081078,2355.4813454907,2960.2610692198,1635.02988088041,1779.99274099177,1382.43940779618,811.480311886772,783.646171867761,709.685413995225
"22","Tb927_02_v5.1",258519,258919,222.772152254148,324.759789233729,552.712491632689,827.463722887674,709.954378556864,1308.11736495679,1557.93193829889,671.707321477829,1070.96319981417,367.671688040367,926.216839239406,2012.5807967541,1946.75556835767,1284.25119079386,1117.21130689225,982.142459360355,1116.34199657968,1057.84339938045,1162.61343615189,817.843800653349
