"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"1","Tb927_01_v5.1",1004508,1004908,370.333922209444,330.636271829094,183.091028304684,311.32877919563,273.230961782242,296.464275918393,248.839657171994,544.80831866729,739.830242412294,476.889824239442,754.649226033515,840.421439448778,892.825433138908,876.49798958343,561.865028847466,878.999415460846,356.865066571373,855.218298049344,884.791548553281,695.150609658839
"2","Tb927_01_v5.1",141145,141545,490.220842066791,244.525085024417,311.003938490149,210.571001414168,434.056781059131,220.735463715965,297.672491773596,420.562329531864,487.969884980907,480.57440345542,701.27940806792,585.842355463555,591.417946971237,742.226732397192,352.639622472899,650.711911770824,193.787968104802,273.948785047839,282.001474511951,306.537493981969
"3","Tb927_01_v5.1",144650,145050,523.233182317365,383.185192061792,373.478336691249,288.116227858635,482.621566987725,384.253602656763,390.662676812817,487.248717432171,616.729096248198,486.3644565091,799.835671911052,710.027274480737,722.571408084336,881.234831763677,356.145303310858,782.435651925052,332.463018990609,685.037992186293,701.983377364586,681.194431071042
"4","Tb927_01_v5.1",179841,180241,686.557391978099,533.927715065079,412.467833378797,406.347189888274,606.267223743613,372.380072842308,455.080458627696,639.970280962984,861.402181791743,733.757632439053,1152.07647048398,997.049668559198,1104.63476605953,1188.58301476664,548.479702011622,1028.72371780729,431.737690611865,1045.15612234918,996.701942046186,1027.93901098452
"5","Tb927_01_v5.1",181137,181537,586.527518888014,400.445786298809,443.249014974229,298.829713091094,604.393804701857,377.148183240239,423.131316840478,573.892345507022,630.186115953093,551.37096124814,859.4319686393,769.17034216267,806.2080403717,973.603254278497,398.691520753364,877.990038141657,340.914459860044,772.203514701514,796.725699128466,748.98158421177
"6","Tb927_01_v5.1",183290,183690,716.839388298174,452.994706531508,508.915535711152,326.761299590005,672.413326833301,331.430418836551,484.821732893034,643.742686117928,817.666867750834,715.334736359163,1042.84624304773,898.47788908931,936.660146077778,1078.54252719474,520.593604436946,975.899638103037,362.102579222854,596.37820357081,619.322291261872,676.708516524965
"7","Tb927_01_v5.1",279248,279648,160.842078814826,149.208247959997,106.7080961975,89.9167510581397,157.367199507494,95.3622079586128,95.9772999217659,155.155373308196,203.231581679607,179.754828893785,244.255866889207,256.44185777048,251.78659112087,276.012150118249,140.545931776366,243.764622584262,106.297699949378,275.941139848187,284.703856173001,293.744330276489
"8","Tb927_01_v5.1",289451,289851,331.364467928692,210.003896550381,190.159299634006,161.084902959476,279.5717646928,152.953502176755,159.35608525576,338.908011500648,424.81364477498,342.402682856244,528.183298466173,559.142597874861,580.02092160713,566.23482677724,306.428375063436,532.278306319257,189.145627345534,521.498868991068,537.614986921882,572.867902032428
"9","Tb927_01_v5.1",521726,522126,140.985032047563,121.78308156118,122.554704500333,92.5951223662545,152.755706481633,102.280642653649,125.848448747214,155.642135263673,214.088949850602,187.913540014879,170.783417489904,287.798549822319,308.245701386135,243.218627331922,232.968426595291,283.29856758585,111.892315736188,205.876662702618,192.028061561689,237.753470942113
"10","Tb927_01_v5.1",526654,527054,158.608161053509,148.057541677529,97.9297592239874,128.179198316923,140.794646445807,102.935089178856,111.562247135043,150.896206197775,215.618156635249,219.495647580405,259.73311409923,263.582490613968,280.016146253503,283.846158339427,200.779902537665,261.428725670078,139.032154021135,290.219682584014,281.68354725771,264.835103201766
"11","Tb927_01_v5.1",649413,649813,34.7498318427093,46.0282512987137,44.4617067489582,52.0369282719447,44.962057002141,58.3392331040925,57.5344301290153,69.4852691442981,90.6819623295763,67.9015312658808,74.1840469721772,101.365940147775,113.444237085796,86.7206491460637,102.780188203805,76.0397580456081,68.3257332261401,59.9366735771332,59.1344692888646,61.9720787291461
"12","Tb927_01_v5.1",650800,651200,42.1962243804327,54.0831952759886,36.2533916568428,42.9814824206994,51.4469690697575,65.6316372421041,61.8202906126665,77.151769943056,89.9173589372528,58.9532674556484,88.5938978228879,133.188325645928,136.062948962253,101.842106875314,84.2956892400197,88.825204088675,59.6362235998192,89.323906882265,85.3634677637642,83.0724915940296
"13","Tb927_01_v5.1",657660,658060,189.634796627356,166.852410957837,104.542013048191,134.556272860053,170.04880532861,152.57953273378,134.939667954959,252.021002448058,294.372306044577,211.336936459311,421.265763141764,465.227752868117,511.288091718982,453.82591811522,300.532457290505,463.80887816757,180.456117719213,529.46828819246,514.088370108033,472.848622153216
"14","Tb927_01_v5.1",762656,763056,357.178628726133,202.907874475163,209.768052354059,143.739260202161,304.934976335033,106.861768330093,141.043772280159,276.480790710762,364.104135424488,344.508156693946,524.091612422144,470.039918480033,469.382106149422,530.708510425386,336.545360444086,546.914277447505,179.622877070114,572.30391639994,570.202530481606,625.037426753478
"15","Tb927_01_v5.1",816690,817090,372.567839970761,310.882480646729,182.521006423287,248.068199727775,283.46271193337,252.335881647349,245.073294928785,502.581719029687,602.048711115585,415.831082946092,690.427545081582,818.378616323228,869.330027003674,766.639688249236,504.180644150137,723.891767412062,315.917240387066,909.34393679213,899.734129502617,806.135458428463
"16","Tb927_02_v5.1",1001900,1002300,30.0337832354844,30.4937164853978,23.4849015135523,26.783713081148,36.3155075786524,41.4171158094759,39.3519917135251,50.2581719029687,68.2026225952632,37.3721606192057,48.5665343486916,91.1206843288572,91.8775583198719,59.2105272530897,69.476220243192,71.8340192156519,37.8529323447954,68.2381519119162,71.5336322042717,58.1507441158207
"17","Tb927_02_v5.1",1030063,1030463,243.745249068146,143.071147786835,137.375273416653,77.5452264444665,223.945630068356,68.3429157036725,85.8470842331357,163.065255084693,241.461751295786,334.770340194575,248.881251112892,293.386871178092,305.615618609803,262.894741003718,227.709905338352,284.476174458238,102.369565460767,325.085891590102,316.814508851363,371.167892442124
"18","Tb927_02_v5.1",114081,114481,965.300685973545,515.899983306416,592.1387303951,407.239980324312,808.884698567364,248.502694856856,355.726420143054,581.680536794649,939.391727808748,1179.85490180211,1368.7579314243,1085.84188565648,1115.50577486837,1402.28747159087,795.630201087748,1354.4161327991,432.332862504078,1197.73729414249,1146.28671516667,1336.96867971431
"19","Tb927_02_v5.1",125318,125718,189.634796627356,125.235200408584,165.876367486498,89.4065850946892,195.844344442018,118.267836340829,141.693145080713,158.684397485402,192.985896222471,196.072251135974,251.371842617953,216.547452536211,236.882788721654,254.331987831733,118.715101103619,234.007308498763,97.4891559446146,191.598119966792,198.863497527875,199.872414775235
"20","Tb927_02_v5.1",159403,159803,737.689287403799,442.446565608886,627.252078289149,318.216019702211,733.803827740071,454.092396132336,569.110322404842,639.240138029769,777.907491350008,725.335737088246,939.486695587693,868.052583930101,912.989401090788,1004.2105422124,534.138280401788,930.47765873951,368.649470037206,672.585774684119,675.118524381204,793.50843970617
"21","Tb927_02_v5.1",164668,165068,394.907017583932,203.675011996808,322.290371741807,162.74294234069,332.603934490197,97.5125322557187,161.563952777641,180.588685481854,254.154167608357,357.930552409294,391.55656447425,313.722151667156,311.226461865978,390.971666108094,220.379845404437,266.475612266025,129.866506881043,115.390548853484,111.433502611543,141.721670659414
"22","Tb927_02_v5.1",258519,258919,120.383346026529,108.5499593128,136.349234030138,104.966646979928,146.847231042249,83.3951857834143,149.875242367683,134.833061667044,134.876038405879,127.117982951242,143.74270972067,253.492465943822,257.22209552529,169.615387300389,150.584926903249,147.032629495269,104.869287408065,150.422787426268,165.322172205428,163.320518473862
"23","Tb927_02_v5.1",313168,313568,355.689350218588,251.621107099635,187.651203355859,192.842734184265,301.476356565638,182.964549975495,197.928829608621,420.318948554125,512.895955570656,375.037527340621,645.774797383701,671.685180734182,716.083870569383,690.850213365281,372.876961855664,650.207223111229,230.212487908284,816.533409009256,817.232007027024,780.549131017502
"24","Tb927_02_v5.1",316853,317253,168.288471352549,186.222633379379,112.636323764027,137.234644168168,152.035160696342,171.184512521784,156.888468613658,213.323426987661,458.914956072611,313.452417587845,302.428968471706,423.625804997361,440.451195609768,311.356280232401,362.04122108379,303.149654863243,178.313498907244,266.311424979839,264.515475528685,238.085760908489
"25","Tb927_02_v5.1",368856,369256,267.32549210427,115.070628246784,305.987745933856,516.925662466156,333.612698589604,65.9121143243353,354.167925421726,292.543935241493,310.123135926443,331.34894520831,409.168604402896,962.277891234387,1169.68548006081,469.85830703298,389.289922142473,302.813195756847,266.756042090209,309.147053187319,317.291399732725,286.267806033026
"26","Tb927_02_v5.1",376362,376762,195.840123742126,162.633154588788,191.755360901917,266.689257393716,217.316608843682,63.1073435020232,263.125858784165,250.439026092759,235.650765514127,305.820074926176,290.153910339619,1018.16110479212,1144.43668540802,331.761138855004,295.592634291562,173.949358006989,149.269110567212,210.193431436705,202.201733697408,199.706269792047
"27","Tb927_02_v5.1",415039,415439,36.9837496040263,40.8500730276084,31.5792122293883,28.8243769349497,37.0360533639431,30.1045401594836,29.2217760248949,50.9883148361837,59.6390646012391,49.7418194157034,66.3564736705566,73.8900268152232,82.058582621565,68.5020253758823,46.2112474094626,56.8615889810079,32.1392821795433,66.0797675448727,70.2619231873069,60.6429188636416
"28","Tb927_02_v5.1",516169,516569,209.9882695638,206.743562083389,107.962144336573,147.693046418902,185.468485133832,160.713368118486,140.134650359385,281.105029287791,399.887574185231,262.657861253291,399.028338989433,503.880308912215,527.068588376975,492.449400508005,300.691806419503,470.5380602955,198.311274485626,554.870811896896,563.843985396781,521.196812260941
"29","Tb927_02_v5.1",57860,58260,234.561364938288,248.168988252231,205.663894808001,134.938897332641,264.728521515811,126.588656447021,175.850154389812,206.508759610987,271.128362917941,322.137497168365,341.211036193371,308.444292608925,308.771717941402,363.279357977418,369.530630146703,412.162405335708,151.530763757624,293.540273917927,287.565201461172,296.901084957062
"30","Tb927_02_v5.1",896838,897238,284.452194941034,203.099658855574,153.563894848325,184.935161750784,264.728521515811,171.278004882528,160.524956296756,291.57041133054,432.306758019751,357.930552409294,471.967090209079,519.09296149182,525.31519985942,535.991911318738,286.031686551674,562.223166788545,207.953059139489,564.998615465331,571.31527587145,549.6076043861
"31","Tb927_02_v5.1",905914,906314,361.398251164176,232.250884678093,163.368271208352,178.303004225928,315.31083564322,154.82334939163,159.875583496203,326.738962613731,496.074680939537,537.159012843654,608.593824201003,569.698315991322,591.242608119481,634.919038390824,411.91749846021,693.27398872998,203.429752758665,658.473261514987,665.739670381089,703.956293767807
"32","Tb927_02_v5.1",92380,92780,156.622456376782,142.687579026013,125.518818283597,109.558140650982,177.398372338576,137.714247375526,143.901012602594,184.726162103405,211.795139673631,167.121985867575,240.875778418053,244.954752761391,264.937005002531,297.510126167063,145.804453033304,233.670849392367,121.176997254722,230.615068140272,221.913223460363,227.950916934017
